ID,名称,销售数量,Steam价格,最低售价,价格比例
42198,USP 消音版 | 午夜行动 (略有磨损),566,0.77,4.14,5.376623376623376
39642,Tec-9（StatTrak™） | 燃料喷射器 (略有磨损),66,26.46,140.97,5.327664399092971
34801,FN57 | 霸意大名 (久经沙场),190,0.32,1.84,5.75
34399,沙漠之鹰 | 阴谋者 (崭新出厂),2446,13.53,68.5,5.062823355506283
34328,CZ75 | 战术高手 (久经沙场),491,0.65,3.59,5.523076923076923
956536,FN57 | 混合体 (久经沙场),569,1.2,6.82,5.683333333333334
900576,P250 | 迷人幻象 (略有磨损),351,6.99,36.99,5.291845493562231
956528,FN57 | 混合体 (崭新出厂),218,3.88,19.8,5.103092783505155
857588,CZ75 | 短趾雕 (略有磨损),203,0.35,2.19,6.257142857142857
38480,双持贝瑞塔（StatTrak™） | 报应 (略有磨损),15,5.12,34.98,6.832031249999999
871226,USP 消音版 | 银装素裹 (久经沙场),239,41.4,230.99,5.579468599033817
42191,USP 消音版 | 黑色魅影 (崭新出厂),509,45.9,234.4,5.106753812636166
34319,CZ75 | 聚合物 (略有磨损),82,0.23,1.47,6.391304347826087
34739,FN57 | 热火朝天 (久经沙场),16,3.29,23.9,7.264437689969604
871334,格洛克 18 型 | 伽玛多普勒 (破损不堪),13,86.95,465,5.347901092581943
42015,Tec-9 | 贾姆比亚 (崭新出厂),26,2.19,12.4,5.662100456621005
34739,FN57 | 热火朝天 (久经沙场),16,3.29,23.9,7.264437689969604
871334,格洛克 18 型 | 伽玛多普勒 (破损不堪),13,86.95,465,5.347901092581943
42015,Tec-9 | 贾姆比亚 (崭新出厂),26,2.19,12.4,5.662100456621005
45259,格洛克 18 型 | 城里的月光 (略有磨损),1340,1.54,7.5,4.87012987012987
921553,P2000 | 变态杀戮 (崭新出厂),132,16.15,82.3,5.095975232198143
871435,FN57 | 同步力场 (略有磨损),282,3.85,20.09,5.218181818181818
34788,FN57 | 银白石英 (崭新出厂),455,1.06,6.39,6.028301886792452
956520,USP 消音版 | 破颚者 (破损不堪),105,9.9,54.69,5.5242424242424235
968323,CZ75 | 回转 (略有磨损),102,12.49,72,5.764611689351481
781661,P250（StatTrak™） | 卡带 (略有磨损),251,0.37,2.26,6.108108108108108
781622,P2000（StatTrak™） | 盘根错节 (略有磨损),165,0.31,1.73,5.580645161290323
759224,格洛克 18 型（StatTrak™） | 战鹰 (久经沙场),72,0.96,3.86,4.020833333333333
45425,P2000（StatTrak™） | 都市危机 (略有磨损),84,0.47,1.98,4.212765957446809
38720,格洛克 18 型（StatTrak™） | 铁之作 (久经沙场),113,1.08,5.83,5.398148148148148
34570,双持贝瑞塔 | 皇室伴侣 (久经沙场),335,0.75,3.27,4.36
33822,CZ75 | 聚合物 (久经沙场),122,0.26,1.33,5.115384615384616
968260,沙漠之鹰 | 热处理 (破损不堪),7587,1.28,7.29,5.6953125
857532,格洛克 18 型 | 一目了然 (崭新出厂),263,2.04,9.85,4.828431372549019
773435,P250 | X 射线 (久经沙场),304,0.48,1.99,4.145833333333333
38483,双持贝瑞塔（StatTrak™） | 皇室伴侣 (久经沙场),100,1.45,6.46,4.455172413793104
773435,P250 | X 射线 (久经沙场),304,0.48,1.99,4.145833333333333
38483,双持贝瑞塔（StatTrak™） | 皇室伴侣 (久经沙场),100,1.45,6.46,4.455172413793104
35053,格洛克 18 型 | 皇家军团 (略有磨损),106,4.75,23.38,4.922105263157895
34712,FN57 | 毛细血管 (略有磨损),122,0.42,2.39,5.690476190476191
900615,USP 消音版 | 印花集 (略有磨损),1096,78,422,5.410256410256411
42006,Tec-9 | 冰冠 (战痕累累),17,0.24,1.17,4.875
35078,格洛克 18 型 | 鼬鼠 (久经沙场),570,0.66,3.29,4.984848484848484
871382,USP 消音版 | 黑莲花 (略有磨损),540,4.05,19.58,4.834567901234568
42177,USP 消音版 | 守护者 (崭新出厂),841,10.82,58.78,5.432532347504621
900518,P250 | 迷人幻象 (久经沙场),614,3.74,20.56,5.497326203208556
35935,P2000 | 手炮 (久经沙场),202,1.15,5.24,4.556521739130435
927318,USP 消音版 | 沙漠战术 (久经沙场),504,0.2,1.08,5.4
34457,沙漠之鹰 | 锈蚀烈焰 (久经沙场),1267,0.37,1.69,4.5675675675675675
871160,FN57 | 紫藤老树 (崭新出厂),66,5.68,31,5.45774647887324
835456,P2000 | 绝命密电 (崭新出厂),42,31.05,183,5.8937198067632846
41967,Tec-9 | 坍雪寒裘 (久经沙场),252,2.31,13.69,5.926406926406926
39210,P2000（StatTrak™） | 乳白象牙 (崭新出厂),59,5.68,26.83,4.723591549295775
38347,CZ75（StatTrak™） | 先驱 (久经沙场),133,1.5,8.49,5.66
36052,P250 | 死亡轮回 (崭新出厂),141,13.61,62.99,4.628214548126378
34717,FN57 | 表面淬火 (略有磨损),717,15.46,75.5,4.883570504527813
871160,FN57 | 紫藤老树 (崭新出厂),66,5.68,31,5.45774647887324
835456,P2000 | 绝命密电 (崭新出厂),42,31.05,183,5.8937198067632846
41967,Tec-9 | 坍雪寒裘 (久经沙场),252,2.31,13.69,5.926406926406926
39210,P2000（StatTrak™） | 乳白象牙 (崭新出厂),59,5.68,26.83,4.723591549295775
38347,CZ75（StatTrak™） | 先驱 (久经沙场),133,1.5,8.49,5.66
